trial,food,genotype,sex,color,birthdate,lightslefton,nonvirgin,lifestatus
3,1,637x318,M,UB,2/10/17,1,0,
3,1,732x40,M,BB,2/10/17,1,0,
3,1,801x513,M,BP,2/10/17,1,0,
3,1,855x391,M,PP,2/10/17,1,0,
4,1,136x427,F,BP,2/10/17,1,0,
4,1,208x313,F,PP,2/10/17,1,0,
4,1,237x714,F,TW,2/10/17,1,0,
4,1,306x774,F,NR,2/10/17,1,0,
4,1,315x229,F,CO,2/10/17,1,0,
4,1,335x365,F,CY,2/10/17,1,0,
4,1,360x380,F,LG,2/10/17,1,0,
4,1,387x324,F,CG,2/10/17,1,0,
4,1,786x716,F,UB,2/10/17,1,0,
4,1,852x721,F,BB,2/10/17,1,0,
4,1,153x517,M,NR,2/10/17,1,0,
4,1,235x712,M,CO,2/10/17,1,0,
4,1,307x176,M,CY,2/10/17,1,0,
4,1,378x765,M,LG,2/10/17,1,0,
4,1,57x862,M,PP,2/10/17,1,0,
4,1,59x820,M,TW,2/10/17,1,0,
4,1,637x318,M,CG,2/10/17,1,0,
4,1,732x40,M,UB,2/10/17,1,0,
4,1,801x513,M,BB,2/10/17,1,0,
4,1,855x391,M,BP,2/10/17,1,0,
5,3,136x427,F,BB,2/24/17,0,0,1
5,3,208x313,F,BP,2/24/17,0,0,1
5,3,237x714,F,PP,2/24/17,0,0,1
5,3,306x774,F,TW,2/24/17,0,0,1
5,3,315x229,F,NR,2/24/17,0,0,1
5,3,335x365,F,CO,2/24/17,0,0,1
5,3,360x380,F,CY,2/24/17,0,0,1
5,3,387x324,F,LG,2/24/17,0,0,1
5,3,786x716,F,CG,2/24/17,0,0,1
5,3,852x721,F,UB,2/24/17,0,0,1
5,3,153x517,M,TW,2/24/17,0,0,1
5,3,235x712,M,NR,2/24/17,0,0,1
5,3,307x176,M,CO,2/24/17,0,0,1
5,3,378x765,M,CY,2/24/17,0,0,1
5,3,57x862,M,BP,2/24/17,0,0,1
5,3,59x820,M,PP,2/24/17,0,0,1
5,3,637x318,M,LG,2/24/17,0,0,1
5,3,732x40,M,CG,2/24/17,0,0,1
5,3,801x513,M,UB,2/24/17,0,0,1
5,3,855x391,M,BB,2/24/17,0,0,1
6,3,136x427,F,UB,2/24/17,0,0,1
6,3,208x313,F,BB,2/24/17,0,0,1
6,3,237x714,F,BP,2/24/17,0,0,1
6,3,306x774,F,PP,2/24/17,0,0,
6,3,315x229,F,TW,2/24/17,0,0,1
6,3,335x365,F,NR,2/24/17,0,0,1
6,3,360x380,F,CO,2/24/17,0,0,1
6,3,387x324,F,CY,2/24/17,0,0,1
6,3,786x716,F,LG,2/24/17,0,0,1
6,3,852x721,F,CG,2/24/17,0,0,1
6,3,153x517,M,PP,2/24/17,0,0,1
6,3,235x712,M,TW,2/24/17,0,0,1
6,3,307x176,M,NR,2/24/17,0,0,1
6,3,378x765,M,CO,2/24/17,0,0,1
6,3,57x862,M,BB,2/24/17,0,0,1
6,3,59x820,M,BP,2/24/17,0,0,1
6,3,637x318,M,CY,2/24/17,0,0,1
6,3,732x40,M,LG,2/24/17,0,0,1
6,3,801x513,M,CG,2/24/17,0,0,1
6,3,855x391,M,UB,2/24/17,0,0,0
7,4,136x427,F,CG,3/3/17,0,0,0
7,4,208x313,F,UB,3/3/17,0,0,1
7,4,237x714,F,BB,3/3/17,0,0,1
7,4,306x774,F,BP,3/3/17,0,0,1
7,4,315x229,F,PP,3/3/17,0,0,1
7,4,335x365,F,TW,3/3/17,0,0,1
7,4,360x380,F,NR,3/3/17,0,0,1
7,4,387x324,F,CO,3/3/17,0,0,1
7,4,786x716,F,CY,3/3/17,0,0,1
7,4,852x721,F,LG,3/3/17,0,0,1
7,4,153x517,M,BP,3/3/17,0,0,1
7,4,235x712,M,PP,3/3/17,0,0,1
7,4,307x176,M,TW,3/3/17,0,0,1
7,4,378x765,M,NR,3/3/17,0,0,1
7,4,57x862,M,UB,3/3/17,0,0,1
7,4,59x820,M,BB,3/3/17,0,0,1
7,4,637x318,M,CO,3/3/17,0,0,1
7,4,732x40,M,CY,3/3/17,0,0,1
7,4,801x513,M,LG,3/3/17,0,0,1
7,4,855x391,M,CG,3/3/17,0,0,1
8,4,136x427,F,LG,3/3/17,0,0,1
8,4,208x313,F,CG,3/3/17,0,0,1
8,4,237x714,F,UB,3/3/17,0,0,1
8,4,306x774,F,BB,3/3/17,0,0,1
8,4,315x229,F,BP,3/3/17,0,0,1
8,4,335x365,F,PP,3/3/17,0,0,1
8,4,360x380,F,TW,3/3/17,0,0,1
8,4,387x324,F,NR,3/3/17,0,0,1
8,4,786x716,F,CO,3/3/17,0,0,0
8,4,852x721,F,CY,3/3/17,0,0,1
8,4,153x517,M,BB,3/3/17,0,0,1
8,4,235x712,M,BP,3/3/17,0,0,1
8,4,307x176,M,PP,3/3/17,0,0,1
8,4,378x765,M,TW,3/3/17,0,0,1
8,4,57x862,M,CG,3/3/17,0,0,1
8,4,59x820,M,UB,3/3/17,0,0,1
8,4,637x318,M,NR,3/3/17,0,0,1
8,4,732x40,M,CO,3/3/17,0,0,1
8,4,801x513,M,CY,3/3/17,0,0,1
8,4,855x391,M,LG,3/3/17,0,0,1
9,5,136x427,F,CY,3/3/17,0,0,1
9,5,208x313,F,LG,3/3/17,0,0,1
9,5,237x714,F,CG,3/3/17,0,0,1
9,5,306x774,F,UB,3/3/17,0,0,1
9,5,315x229,F,BB,3/3/17,0,0,1
9,5,335x365,F,BP,3/3/17,0,0,1
9,5,360x380,F,PP,3/3/17,0,0,1
9,5,387x324,F,TW,3/3/17,0,0,1
9,5,786x716,F,NR,3/3/17,0,0,1
9,5,852x721,F,CO,3/3/17,0,0,1
9,5,153x517,M,UB,3/3/17,0,0,1
9,5,235x712,M,BB,3/3/17,0,0,1
9,5,307x176,M,BP,3/3/17,0,0,1
9,5,378x765,M,PP,3/3/17,0,0,1
9,5,57x862,M,LG,3/3/17,0,0,1
9,5,59x820,M,CG,3/3/17,0,0,1
9,5,637x318,M,TW,3/3/17,0,0,1
9,5,732x40,M,NR,3/3/17,0,0,1
9,5,801x513,M,CO,3/3/17,0,0,1
9,5,855x391,M,CY,3/3/17,0,0,1
10,5,136x427,F,CO,3/3/17,0,0,1
10,5,208x313,F,CY,3/3/17,0,0,1
10,5,237x714,F,LG,3/3/17,0,0,1
10,5,306x774,F,CG,3/3/17,0,0,1
10,5,315x229,F,UB,3/3/17,0,0,1
10,5,335x365,F,BB,3/3/17,0,0,1
10,5,360x380,F,BP,3/3/17,0,0,1
10,5,387x324,F,PP,3/3/17,0,0,1
10,5,786x716,F,TW,3/3/17,0,0,1
10,5,852x721,F,NR,3/3/17,0,0,1
10,5,153x517,M,CG,3/3/17,0,0,1
10,5,235x712,M,UB,3/3/17,0,0,1
10,5,307x176,M,BB,3/3/17,0,0,1
10,5,378x765,M,BP,3/3/17,0,0,1
10,5,57x862,M,CY,3/3/17,0,0,1
10,5,59x820,M,LG,3/3/17,0,0,1
10,5,637x318,M,PP,3/3/17,0,0,1
10,5,732x40,M,TW,3/3/17,0,0,1
10,5,801x513,M,NR,3/3/17,0,0,1
10,5,855x391,M,CO,3/3/17,0,0,1
11,1,136x427,F,NR,3/10/17,0,0,1
11,1,208x313,F,CO,3/10/17,0,0,1
11,1,237x714,F,CY,3/10/17,0,0,1
11,1,306x774,F,LG,3/10/17,0,0,1
11,1,315x229,F,CG,3/10/17,0,0,1
11,1,335x365,F,UB,3/10/17,0,0,1
11,1,360x380,F,BB,3/10/17,0,0,1
11,1,387x324,F,BP,3/10/17,0,0,1
11,1,786x716,F,PP,3/10/17,0,0,0
11,1,852x721,F,TW,3/10/17,0,0,1
11,1,153x517,M,CG,3/10/17,0,0,1
11,1,235x712,M,UB,3/10/17,0,0,1
11,1,307x176,M,BB,3/10/17,0,0,1
11,1,378x765,M,BP,3/10/17,0,0,1
11,1,57x862,M,CY,3/10/17,0,0,1
11,1,59x820,M,LG,3/10/17,0,0,1
11,1,637x318,M,PP,3/10/17,0,0,1
11,1,732x40,M,TW,3/10/17,0,0,0
11,1,801x513,M,NR,3/10/17,0,0,1
11,1,855x391,M,CO,3/10/17,0,0,1
12,1,136x427,F,TW,3/10/17,0,0,1
12,1,208x313,F,NR,3/10/17,0,0,1
12,1,237x714,F,CO,3/10/17,0,0,1
12,1,306x774,F,CY,3/10/17,0,0,1
12,1,315x229,F,LG,3/10/17,0,0,1
12,1,335x365,F,CG,3/10/17,0,0,1
12,1,360x380,F,UB,3/10/17,0,0,1
12,1,387x324,F,BB,3/10/17,0,0,1
12,1,786x716,F,BP,3/10/17,0,0,1
12,1,852x721,F,PP,3/10/17,0,0,1
12,1,153x517,M,LG,3/10/17,0,0,1
12,1,235x712,M,CG,3/10/17,0,0,1
12,1,307x176,M,UB,3/10/17,0,0,1
12,1,378x765,M,BB,3/10/17,0,0,1
12,1,57x862,M,CO,3/10/17,0,0,1
12,1,59x820,M,CY,3/10/17,0,0,1
12,1,637x318,M,BP,3/10/17,0,0,1
12,1,732x40,M,PP,3/10/17,0,0,1
12,1,801x513,M,TW,3/10/17,0,0,1
12,1,855x391,M,NR,3/10/17,0,0,1
13,2,136x427,F,PP,3/10/17,0,0,1
13,2,208x313,F,TW,3/10/17,0,0,1
13,2,237x714,F,NR,3/10/17,0,0,1
13,2,306x774,F,CO,3/10/17,0,0,1
13,2,315x229,F,CY,3/10/17,0,0,1
13,2,335x365,F,LG,3/10/17,0,0,1
13,2,360x380,F,CG,3/10/17,0,0,1
13,2,387x324,F,UB,3/10/17,0,0,1
13,2,786x716,F,BB,3/10/17,0,0,1
13,2,852x721,F,BP,3/10/17,0,0,1
13,2,153x517,M,CY,3/10/17,0,0,1
13,2,235x712,M,LG,3/10/17,0,0,1
13,2,307x176,M,CG,3/10/17,0,0,1
13,2,378x765,M,UB,3/10/17,0,0,1
13,2,57x862,M,NR,3/10/17,0,0,1
13,2,59x820,M,CO,3/10/17,0,0,1
13,2,637x318,M,BB,3/10/17,0,0,1
13,2,732x40,M,BP,3/10/17,0,0,1
13,2,801x513,M,PP,3/10/17,0,0,1
13,2,855x391,M,TW,3/10/17,0,0,1
14,2,136x427,F,BP,3/10/17,0,0,1
14,2,208x313,F,PP,3/10/17,0,0,1
14,2,237x714,F,TW,3/10/17,0,0,1
14,2,306x774,F,NR,3/10/17,0,0,1
14,2,315x229,F,CO,3/10/17,0,0,1
14,2,335x365,F,CY,3/10/17,0,0,1
14,2,360x380,F,LG,3/10/17,0,0,1
14,2,387x324,F,CG,3/10/17,0,0,1
14,2,786x716,F,UB,3/10/17,0,0,1
14,2,852x721,F,BB,3/10/17,0,0,1
14,2,153x517,M,CO,3/10/17,0,0,1
14,2,235x712,M,CY,3/10/17,0,0,1
14,2,307x176,M,LG,3/10/17,0,0,1
14,2,378x765,M,CG,3/10/17,0,0,1
14,2,57x862,M,TW,3/10/17,0,0,1
14,2,59x820,M,NR,3/10/17,0,0,1
14,2,637x318,M,UB,3/10/17,0,0,1
14,2,732x40,M,BB,3/10/17,0,0,1
14,2,801x513,M,BP,3/10/17,0,0,1
14,2,855x391,M,PP,3/10/17,0,0,1
15,3,136x427,F,BB,3/10/17,0,0,
15,3,208x313,F,BP,3/10/17,0,0,
15,3,237x714,F,PP,3/10/17,0,0,
15,3,306x774,F,TW,3/10/17,0,0,
15,3,315x229,F,NR,3/10/17,0,0,0
15,3,335x365,F,CO,3/10/17,0,0,
15,3,360x380,F,CY,3/10/17,0,0,
15,3,387x324,F,LG,3/10/17,0,0,0
15,3,786x716,F,CG,3/10/17,0,0,
15,3,852x721,F,UB,3/10/17,0,0,
15,3,153x517,M,NR,3/10/17,0,0,
15,3,235x712,M,CO,3/10/17,0,0,
15,3,307x176,M,CY,3/10/17,0,0,
15,3,378x765,M,LG,3/10/17,0,0,
15,3,57x862,M,PP,3/10/17,0,0,
15,3,59x820,M,TW,3/10/17,0,0,
15,3,637x318,M,CG,3/10/17,0,0,
15,3,732x40,M,UB,3/10/17,0,0,
15,3,801x513,M,BB,3/10/17,0,0,
15,3,855x391,M,BP,3/10/17,0,0,
16,3,136x427,F,UB,3/10/17,0,0,1
16,3,208x313,F,BB,3/10/17,0,0,1
16,3,237x714,F,BP,3/10/17,0,0,0
16,3,306x774,F,PP,3/10/17,0,0,1
16,3,315x229,F,TW,3/10/17,0,0,1
16,3,335x365,F,NR,3/10/17,0,0,1
16,3,360x380,F,CO,3/10/17,0,0,1
16,3,387x324,F,CY,3/10/17,0,0,1
16,3,786x716,F,LG,3/10/17,0,0,1
16,3,852x721,F,CG,3/10/17,0,0,1
16,3,153x517,M,TW,3/10/17,0,0,1
16,3,235x712,M,NR,3/10/17,0,0,1
16,3,307x176,M,CO,3/10/17,0,0,1
16,3,378x765,M,CY,3/10/17,0,0,1
16,3,57x862,M,BP,3/10/17,0,0,1
16,3,59x820,M,PP,3/10/17,0,0,1
16,3,637x318,M,LG,3/10/17,0,0,1
16,3,732x40,M,CG,3/10/17,0,0,1
16,3,801x513,M,UB,3/10/17,0,0,1
16,3,855x391,M,BB,3/10/17,0,0,1
17,4,136x427,F,CG,3/10/17,0,0,0
17,4,208x313,F,UB,3/10/17,0,0,1
17,4,237x714,F,BB,3/10/17,0,0,1
17,4,306x774,F,BP,3/10/17,0,0,1
17,4,315x229,F,PP,3/10/17,0,0,1
17,4,335x365,F,TW,3/10/17,0,0,1
17,4,360x380,F,NR,3/10/17,0,0,1
17,4,387x324,F,CO,3/10/17,0,0,1
17,4,786x716,F,CY,3/10/17,0,0,1
17,4,852x721,F,LG,3/10/17,0,0,1
17,4,153x517,M,PP,3/10/17,0,0,1
17,4,235x712,M,TW,3/10/17,0,0,1
17,4,307x176,M,NR,3/10/17,0,0,1
17,4,378x765,M,CO,3/10/17,0,0,1
17,4,57x862,M,BB,3/10/17,0,0,1
17,4,59x820,M,BP,3/10/17,0,0,1
17,4,637x318,M,CY,3/10/17,0,0,1
17,4,732x40,M,LG,3/10/17,0,0,1
17,4,801x513,M,CG,3/10/17,0,0,1
17,4,855x391,M,UB,3/10/17,0,0,1
18,4,136x427,F,LG,3/10/17,0,0,1
18,4,208x313,F,CG,3/10/17,0,0,1
18,4,237x714,F,UB,3/10/17,0,0,1
18,4,306x774,F,BB,3/10/17,0,0,1
18,4,315x229,F,BP,3/10/17,0,0,1
18,4,335x365,F,PP,3/10/17,0,0,1
18,4,360x380,F,TW,3/10/17,0,0,1
18,4,387x324,F,NR,3/10/17,0,0,1
18,4,786x716,F,CO,3/10/17,0,0,1
18,4,852x721,F,CY,3/10/17,0,0,1
18,4,153x517,M,BP,3/10/17,0,0,1
18,4,235x712,M,PP,3/10/17,0,0,1
18,4,307x176,M,TW,3/10/17,0,0,1
18,4,378x765,M,NR,3/10/17,0,0,1
18,4,57x862,M,UB,3/10/17,0,0,1
18,4,59x820,M,BB,3/10/17,0,0,1
18,4,637x318,M,CO,3/10/17,0,0,1
18,4,732x40,M,CY,3/10/17,0,0,1
18,4,801x513,M,LG,3/10/17,0,0,1
18,4,855x391,M,CG,3/10/17,0,0,1
19,5,136x427,F,CY,3/17/17,0,0,
19,5,208x313,F,LG,3/17/17,0,0,0
19,5,237x714,F,CG,3/17/17,0,0,
19,5,306x774,F,UB,3/17/17,0,0,
19,5,315x229,F,BB,3/17/17,0,0,
19,5,335x365,F,BP,3/17/17,0,0,
19,5,360x380,F,PP,3/17/17,0,0,
19,5,387x324,F,TW,3/17/17,0,0,
19,5,786x716,F,NR,3/17/17,0,0,
19,5,852x721,F,CO,3/17/17,0,0,
19,5,153x517,M,BB,3/17/17,0,0,
19,5,235x712,M,BP,3/17/17,0,0,
19,5,307x176,M,PP,3/17/17,0,0,
19,5,378x765,M,TW,3/17/17,0,0,
19,5,57x862,M,CG,3/17/17,0,0,
19,5,59x820,M,UB,3/17/17,0,0,
19,5,637x318,M,NR,3/17/17,0,0,
19,5,732x40,M,CO,3/17/17,0,0,
19,5,801x513,M,CY,3/17/17,0,0,
19,5,855x391,M,LG,3/17/17,0,0,
20,5,136x427,F,CO,3/17/17,0,0,0
20,5,208x313,F,CY,3/17/17,0,0,0
20,5,237x714,F,LG,3/17/17,0,0,
20,5,306x774,F,CG,3/17/17,0,0,
20,5,315x229,F,UB,3/17/17,0,0,
20,5,335x365,F,BB,3/17/17,0,0,
20,5,360x380,F,BP,3/17/17,0,0,
20,5,387x324,F,PP,3/17/17,0,0,0
20,5,786x716,F,TW,3/17/17,0,0,
20,5,852x721,F,NR,3/17/17,0,0,0
20,5,153x517,M,UB,3/17/17,0,0,
20,5,235x712,M,BB,3/17/17,0,0,
20,5,307x176,M,BP,3/17/17,0,0,
20,5,378x765,M,PP,3/17/17,0,0,
20,5,57x862,M,LG,3/17/17,0,0,
20,5,59x820,M,CG,3/17/17,0,0,
20,5,637x318,M,TW,3/17/17,0,0,
20,5,732x40,M,NR,3/17/17,0,0,
20,5,801x513,M,CO,3/17/17,0,0,
20,5,855x391,M,CY,3/17/17,0,0,
21,1,136x427,F,NR,3/17/17,0,0,1
21,1,208x313,F,CO,3/17/17,0,0,1
21,1,237x714,F,CY,3/17/17,0,0,1
21,1,306x774,F,LG,3/17/17,0,0,1
21,1,315x229,F,CG,3/17/17,0,0,1
21,1,335x365,F,UB,3/17/17,0,0,1
21,1,360x380,F,BB,3/17/17,0,0,1
21,1,387x324,F,BP,3/17/17,0,0,1
21,1,786x716,F,PP,3/17/17,0,0,1
21,1,852x721,F,TW,3/17/17,0,0,1
21,1,153x517,M,UB,3/17/17,0,0,1
21,1,235x712,M,BB,3/17/17,0,0,1
21,1,307x176,M,BP,3/17/17,0,0,1
21,1,378x765,M,PP,3/17/17,0,0,1
21,1,57x862,M,LG,3/17/17,0,0,1
21,1,59x820,M,CG,3/17/17,0,0,1
21,1,637x318,M,TW,3/17/17,0,0,1
21,1,732x40,M,NR,3/17/17,0,0,1
21,1,801x513,M,CO,3/17/17,0,0,1
21,1,855x391,M,CY,3/17/17,0,0,1
22,1,136x427,F,TW,3/17/17,0,0,1
22,1,208x313,F,NR,3/17/17,0,0,1
22,1,237x714,F,CO,3/17/17,0,0,0
22,1,306x774,F,CY,3/17/17,0,0,1
22,1,315x229,F,LG,3/17/17,0,0,1
22,1,335x365,F,CG,3/17/17,0,0,1
22,1,360x380,F,UB,3/17/17,0,0,1
22,1,387x324,F,BB,3/17/17,0,0,1
22,1,786x716,F,BP,3/17/17,0,0,1
22,1,852x721,F,PP,3/17/17,0,0,1
22,1,153x517,M,CG,3/17/17,0,0,1
22,1,235x712,M,UB,3/17/17,0,0,1
22,1,307x176,M,BB,3/17/17,0,0,1
22,1,378x765,M,BP,3/17/17,0,0,1
22,1,57x862,M,CY,3/17/17,0,0,1
22,1,59x820,M,LG,3/17/17,0,0,1
22,1,637x318,M,PP,3/17/17,0,0,1
22,1,732x40,M,TW,3/17/17,0,0,1
22,1,801x513,M,NR,3/17/17,0,0,1
22,1,855x391,M,CO,3/17/17,0,0,1
23,2,136x427,F,PP,3/17/17,0,0,1
23,2,208x313,F,TW,3/17/17,0,0,1
23,2,237x714,F,NR,3/17/17,0,0,1
23,2,306x774,F,CO,3/17/17,0,0,1
23,2,315x229,F,CY,3/17/17,0,0,0
23,2,335x365,F,LG,3/17/17,0,0,1
23,2,360x380,F,CG,3/17/17,0,0,1
23,2,387x324,F,UB,3/17/17,0,0,1
23,2,786x716,F,BB,3/17/17,0,0,1
23,2,852x721,F,BP,3/17/17,0,0,1
23,2,153x517,M,LG,3/17/17,0,0,1
23,2,235x712,M,CG,3/17/17,0,0,1
23,2,307x176,M,UB,3/17/17,0,0,1
23,2,378x765,M,BB,3/17/17,0,0,1
23,2,57x862,M,CO,3/17/17,0,0,1
23,2,59x820,M,CY,3/17/17,0,0,1
23,2,637x318,M,BP,3/17/17,0,0,1
23,2,732x40,M,PP,3/17/17,0,0,1
23,2,801x513,M,TW,3/17/17,0,0,1
23,2,855x391,M,NR,3/17/17,0,0,1
24,2,136x427,F,BP,3/17/17,0,0,1
24,2,208x313,F,PP,3/17/17,0,0,1
24,2,237x714,F,TW,3/17/17,0,0,1
24,2,306x774,F,NR,3/17/17,0,0,1
24,2,315x229,F,CO,3/17/17,0,0,1
24,2,335x365,F,CY,3/17/17,0,0,1
24,2,360x380,F,LG,3/17/17,0,0,1
24,2,387x324,F,CG,3/17/17,0,0,1
24,2,786x716,F,UB,3/17/17,0,0,1
24,2,852x721,F,BB,3/17/17,0,0,1
24,2,153x517,M,CY,3/17/17,0,0,1
24,2,235x712,M,LG,3/17/17,0,0,1
24,2,307x176,M,CG,3/17/17,0,0,1
24,2,378x765,M,UB,3/17/17,0,0,1
24,2,57x862,M,NR,3/17/17,0,0,1
24,2,59x820,M,CO,3/17/17,0,0,1
24,2,637x318,M,BB,3/17/17,0,0,1
24,2,732x40,M,BP,3/17/17,0,0,1
24,2,801x513,M,PP,3/17/17,0,0,0
24,2,855x391,M,TW,3/17/17,0,0,1
25,3,136x427,F,BB,3/17/17,0,0,1
25,3,208x313,F,BP,3/17/17,0,0,1
25,3,237x714,F,PP,3/17/17,0,0,1
25,3,306x774,F,TW,3/17/17,0,0,1
25,3,315x229,F,NR,3/17/17,0,0,1
25,3,335x365,F,CO,3/17/17,0,0,1
25,3,360x380,F,CY,3/17/17,0,0,1
25,3,387x324,F,LG,3/17/17,0,0,1
25,3,786x716,F,CG,3/17/17,0,0,1
25,3,852x721,F,UB,3/17/17,0,0,1
25,3,153x517,M,CO,3/17/17,0,0,1
25,3,235x712,M,CY,3/17/17,0,0,1
25,3,307x176,M,LG,3/17/17,0,0,1
25,3,378x765,M,CG,3/17/17,0,0,1
25,3,57x862,M,TW,3/17/17,0,0,0
25,3,59x820,M,NR,3/17/17,0,0,1
25,3,637x318,M,UB,3/17/17,0,0,1
25,3,732x40,M,BB,3/17/17,0,0,1
25,3,801x513,M,BP,3/17/17,0,0,1
25,3,855x391,M,PP,3/17/17,0,0,1
26,3,136x427,F,UB,3/17/17,0,0,
26,3,208x313,F,BB,3/17/17,0,0,
26,3,237x714,F,BP,3/17/17,0,0,
26,3,306x774,F,PP,3/17/17,0,0,
26,3,315x229,F,TW,3/17/17,0,0,
26,3,335x365,F,NR,3/17/17,0,0,
26,3,360x380,F,CO,3/17/17,0,0,
26,3,387x324,F,CY,3/17/17,0,0,
26,3,786x716,F,LG,3/17/17,0,0,
26,3,852x721,F,CG,3/17/17,0,0,
26,3,153x517,M,NR,3/17/17,0,0,
26,3,235x712,M,CO,3/17/17,0,0,
26,3,307x176,M,CY,3/17/17,0,0,
26,3,378x765,M,LG,3/17/17,0,0,
26,3,57x862,M,PP,3/17/17,0,0,
26,3,59x820,M,TW,3/17/17,0,0,
26,3,637x318,M,CG,3/17/17,0,0,
26,3,732x40,M,UB,3/17/17,0,0,
26,3,801x513,M,BB,3/17/17,0,0,
26,3,855x391,M,BP,3/17/17,0,0,
27,4,136x427,F,CG,3/24/17,0,0,1
27,4,208x313,F,UB,3/24/17,0,0,1
27,4,237x714,F,BB,3/24/17,0,0,1
27,4,306x774,F,BP,3/24/17,0,0,1
27,4,315x229,F,PP,3/24/17,0,0,1
27,4,335x365,F,TW,3/24/17,0,0,1
27,4,360x380,F,NR,3/24/17,0,0,1
27,4,387x324,F,CO,3/24/17,0,0,1
27,4,786x716,F,CY,3/24/17,0,0,1
27,4,852x721,F,LG,3/24/17,0,0,1
27,4,153x517,M,TW,3/24/17,0,0,1
27,4,235x712,M,NR,3/24/17,0,0,1
27,4,307x176,M,CO,3/24/17,0,0,1
27,4,378x765,M,CY,3/24/17,0,0,1
27,4,57x862,M,BP,3/24/17,0,0,1
27,4,59x820,M,PP,3/24/17,0,0,0
27,4,637x318,M,LG,3/24/17,0,0,1
27,4,732x40,M,CG,3/24/17,0,0,1
27,4,801x513,M,UB,3/24/17,0,0,1
27,4,855x391,M,BB,3/24/17,0,0,1
28,4,136x427,F,LG,3/24/17,0,0,1
28,4,208x313,F,CG,3/24/17,0,0,1
28,4,237x714,F,UB,3/24/17,0,0,1
28,4,306x774,F,BB,3/24/17,0,0,1
28,4,315x229,F,BP,3/24/17,0,0,1
28,4,335x365,F,PP,3/24/17,0,0,1
28,4,360x380,F,TW,3/24/17,0,0,1
28,4,387x324,F,NR,3/24/17,0,0,1
28,4,786x716,F,CO,3/24/17,0,0,1
28,4,852x721,F,CY,3/24/17,0,0,1
28,4,153x517,M,PP,3/24/17,0,0,1
28,4,235x712,M,TW,3/24/17,0,0,1
28,4,307x176,M,NR,3/24/17,0,0,1
28,4,378x765,M,CO,3/24/17,0,0,1
28,4,57x862,M,BB,3/24/17,0,0,1
28,4,59x820,M,BP,3/24/17,0,0,1
28,4,637x318,M,CY,3/24/17,0,0,1
28,4,732x40,M,LG,3/24/17,0,0,1
28,4,801x513,M,CG,3/24/17,0,0,1
28,4,855x391,M,UB,3/24/17,0,0,1
29,5,136x427,F,CY,3/24/17,0,0,1
29,5,208x313,F,LG,3/24/17,0,0,1
29,5,237x714,F,CG,3/24/17,0,0,1
29,5,306x774,F,UB,3/24/17,0,0,1
29,5,315x229,F,BB,3/24/17,0,0,1
